UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure,Failure Type
7956,M22815,M,300.9,311.9,1310,56.1,35,False,No Failure
1509,M16368,M,298.0,308.6,1507,37.3,217,False,No Failure
5238,L52417,L,303.8,313.0,1499,42.3,38,False,No Failure
750,L47929,L,296.6,308.0,1978,22.3,208,False,No Failure
6995,L54174,L,300.6,310.8,1375,53.2,179,False,No Failure
5946,M20805,M,300.8,310.8,1415,44.5,87,False,No Failure
447,L47626,L,297.5,308.6,1452,39.0,72,False,No Failure
5070,M19929,M,304.2,313.2,1380,48.7,17,False,No Failure
5804,L52983,L,301.5,310.9,1671,31.1,170,False,No Failure
6347,L53526,L,300.2,309.7,1275,60.7,15,False,No Failure
5236,M20095,M,303.7,312.9,1511,41.0,33,False,No Failure
6386,L53565,L,300.1,309.7,1410,48.3,118,False,No Failure
8211,H37624,H,299.2,310.7,1636,29.4,23,False,No Failure
5979,L53158,L,300.5,310.6,1448,46.3,173,False,No Failure
3401,H32814,H,301.4,310.7,1536,44.4,96,False,No Failure
3822,L51001,L,302.3,310.9,1596,33.5,104,False,No Failure
2368,M17227,M,299.3,308.5,1496,39.4,80,False,No Failure
5055,L52234,L,303.8,312.9,1619,35.7,182,False,No Failure
544,H29957,H,297.5,309.3,1563,36.1,100,False,No Failure
9876,M24735,M,298.9,309.8,1363,50.6,115,False,No Failure
373,M15232,M,297.4,308.3,1405,51.7,108,False,No Failure
2040,M16899,M,299.0,308.9,1449,39.6,105,False,No Failure
276,L47455,L,298.0,308.0,1401,54.7,65,False,No Failure
9912,M24771,M,298.6,309.0,1481,40.8,6,False,No Failure
8335,M23194,M,298.8,309.7,1459,47.3,141,False,No Failure
6475,M21334,M,300.5,309.7,1347,54.3,136,False,No Failure
2302,M17161,M,299.2,308.6,1586,35.7,138,False,No Failure
5932,L53111,L,300.3,310.4,1336,54.4,52,False,No Failure
5473,L52652,L,302.8,312.3,1386,57.8,172,False,No Failure
7424,L54603,L,300.0,311.3,1407,47.3,208,False,No Failure
9208,L56387,L,297.9,308.8,1386,48.6,75,False,No Failure
7390,L54569,L,299.8,310.6,1707,32.5,124,False,No Failure
9498,H38911,H,299.1,309.9,1443,40.3,0,False,No Failure
7458,L54637,L,300.1,311.6,1530,36.6,74,False,No Failure
2451,L49630,L,299.2,308.7,1492,37.8,91,False,No Failure
9135,L56314,L,297.7,308.7,1449,40.2,95,False,No Failure
1232,M16091,M,297.2,308.5,1604,40.7,158,False,No Failure
6438,L53617,L,300.4,310.0,1282,66.1,40,False,No Failure
7058,L54237,L,300.8,310.6,1666,36.2,144,False,No Failure
4262,L51441,L,302.7,311.1,1730,28.1,135,False,No Failure
